OrderID,ReturnDate,Reason
ORD163587,2025-05-21,Damaged
ORD104293,2025-05-12,Damaged
ORD169102,2025-06-15,Not Needed
ORD186411,2025-02-05,Not Needed
ORD199476,2025-05-02,Damaged
ORD153929,2024-11-14,Not Needed
ORD187070,2024-03-06,Damaged
ORD165083,2025-01-29,Not Needed
ORD130712,2025-06-14,Not Needed
ORD149182,2025-05-17,Late Delivery
ORD157234,2025-01-29,Wrong Item
ORD115663,2024-08-21,Late Delivery
ORD119966,2025-05-18,Not Needed
ORD191912,2024-11-30,Late Delivery
ORD191957,2025-05-12,Damaged
ORD181346,2023-11-16,Wrong Item
ORD155325,2024-12-13,Not Needed
ORD129857,2024-04-18,Late Delivery
ORD171222,2025-06-25,Not Needed
ORD152458,2025-01-12,Wrong Item
ORD188345,2024-03-16,Not Needed
ORD182363,2025-04-01,Late Delivery
ORD165349,2024-01-14,Wrong Item
ORD159649,2025-04-04,Late Delivery
ORD144952,2025-01-17,Damaged
ORD139525,2025-06-04,Not Needed
ORD113935,2025-01-18,Late Delivery
ORD193780,2024-11-20,Late Delivery
ORD189884,2024-09-10,Damaged
ORD181143,2025-01-20,Wrong Item
ORD195799,2025-01-10,Damaged
ORD189404,2024-08-16,Not Needed
ORD155223,2025-06-06,Damaged
ORD173645,2025-06-06,Damaged
ORD166293,2025-02-09,Not Needed
ORD165539,2025-01-14,Wrong Item
ORD128110,2024-08-03,Not Needed
ORD141928,2025-04-22,Wrong Item
ORD186546,2025-06-28,Damaged
ORD182585,2024-09-15,Wrong Item
ORD138603,2025-06-03,Wrong Item
ORD191657,2024-02-03,Damaged
ORD162786,2023-11-20,Wrong Item
ORD184340,2025-06-20,Damaged
ORD139874,2024-12-16,Not Needed
ORD178468,2025-01-27,Damaged
ORD131631,2024-10-03,Not Needed
ORD114952,2025-02-14,Wrong Item
ORD139331,2024-02-13,Damaged
ORD148587,2025-06-16,Wrong Item
ORD183594,2024-08-09,Damaged
ORD141487,2025-04-18,Late Delivery
ORD139627,2024-03-23,Wrong Item
ORD187894,2024-05-16,Late Delivery
ORD126303,2025-05-25,Wrong Item
ORD167403,2025-03-16,Late Delivery
ORD198084,2025-02-03,Late Delivery
ORD195601,2025-03-09,Not Needed
ORD105019,2025-01-15,Not Needed
ORD105223,2024-02-05,Late Delivery
ORD115780,2024-08-14,Late Delivery
ORD145556,2024-04-10,Late Delivery
ORD112896,2025-01-16,Late Delivery
ORD134304,2024-06-22,Wrong Item
ORD193322,2025-05-29,Not Needed
ORD105324,2024-02-23,Wrong Item
ORD152925,2025-06-07,Damaged
ORD162864,2025-02-28,Damaged
ORD108018,2024-11-15,Not Needed
ORD182944,2024-09-15,Late Delivery
ORD190376,2025-06-13,Damaged
ORD141720,2025-04-06,Late Delivery
ORD100866,2025-01-02,Not Needed
ORD198443,2024-11-07,Wrong Item
ORD183039,2024-05-19,Late Delivery
ORD113924,2025-05-18,Not Needed
ORD179892,2024-12-21,Late Delivery
ORD131183,2024-12-15,Wrong Item
ORD113799,2024-01-27,Late Delivery
ORD140988,2024-11-07,Damaged
ORD166733,2024-07-31,Wrong Item
ORD178330,2025-01-05,Late Delivery
ORD124378,2024-09-02,Late Delivery
ORD123414,2025-03-15,Wrong Item
ORD197559,2024-01-27,Late Delivery
ORD122992,2024-08-17,Wrong Item
ORD103231,2025-07-03,Late Delivery
ORD141995,2025-06-04,Not Needed
ORD149187,2024-09-07,Wrong Item
ORD122514,2024-02-27,Wrong Item
ORD121325,2025-06-29,Wrong Item
ORD186233,2024-12-19,Damaged
ORD188126,2023-09-29,Late Delivery
ORD129823,2025-05-08,Not Needed
ORD192484,2024-11-05,Wrong Item
ORD168424,2025-05-08,Not Needed
ORD164483,2024-11-01,Damaged
ORD151019,2025-03-04,Not Needed
ORD126753,2024-07-25,Late Delivery
ORD149963,2024-08-16,Wrong Item
ORD142731,2025-02-09,Late Delivery
ORD129056,2024-04-25,Not Needed
ORD155317,2023-12-21,Not Needed
ORD135496,2025-05-13,Damaged
ORD156337,2025-01-09,Wrong Item
ORD179277,2023-11-28,Late Delivery
ORD105464,2025-06-20,Late Delivery
ORD170155,2025-04-01,Late Delivery
ORD170669,2025-07-07,Not Needed
ORD156013,2024-12-02,Late Delivery
ORD112085,2024-09-09,Wrong Item
ORD156818,2025-06-09,Not Needed
ORD120000,2024-10-13,Not Needed
ORD169066,2024-07-12,Late Delivery
ORD150452,2024-09-24,Damaged
ORD190709,2024-02-16,Wrong Item
ORD152884,2025-02-04,Wrong Item
ORD130963,2025-02-11,Damaged
ORD134573,2023-10-09,Damaged
ORD115294,2025-06-16,Wrong Item
ORD127918,2024-12-26,Late Delivery
ORD146120,2024-04-19,Wrong Item
ORD135073,2025-07-04,Damaged
ORD110550,2025-06-02,Not Needed
ORD191127,2025-06-08,Wrong Item
ORD100690,2025-06-08,Not Needed
ORD177729,2025-06-27,Not Needed
ORD136096,2025-07-05,Late Delivery
ORD165351,2024-06-01,Late Delivery
ORD111040,2025-01-18,Not Needed
ORD104221,2024-10-03,Late Delivery
ORD100821,2024-10-24,Late Delivery
ORD138128,2024-11-16,Wrong Item
ORD189151,2025-06-16,Not Needed
ORD129231,2024-11-26,Not Needed
ORD150556,2024-12-02,Wrong Item
ORD133684,2024-06-02,Wrong Item
ORD158753,2025-03-13,Wrong Item
ORD127022,2025-07-01,Wrong Item
ORD136905,2025-02-11,Damaged
ORD100270,2025-05-09,Late Delivery
ORD108866,2025-01-09,Wrong Item
ORD115006,2024-10-23,Damaged
ORD104688,2025-04-07,Damaged
ORD181995,2025-04-02,Damaged
ORD184372,2024-12-17,Damaged
ORD102514,2025-03-06,Late Delivery
ORD136399,2025-06-08,Damaged
ORD138868,2025-06-02,Not Needed
ORD158244,2025-06-19,Late Delivery
ORD130409,2025-04-19,Wrong Item
ORD154794,2025-06-22,Wrong Item
ORD119263,2024-11-18,Not Needed
ORD183909,2024-06-03,Late Delivery
ORD126973,2024-02-15,Damaged
ORD107129,2025-06-25,Not Needed
ORD107144,2025-07-04,Damaged
ORD145465,2025-02-09,Late Delivery
ORD101966,2025-02-07,Late Delivery
ORD115152,2025-06-23,Late Delivery
ORD119113,2024-03-28,Damaged
ORD176206,2025-01-13,Damaged
ORD132141,2024-08-27,Not Needed
ORD121934,2025-05-31,Damaged
ORD140359,2025-07-03,Not Needed
ORD153841,2025-05-25,Not Needed
ORD109162,2024-11-15,Damaged
ORD187843,2025-05-01,Wrong Item
ORD137629,2024-04-08,Damaged
ORD183304,2025-01-03,Wrong Item
ORD166269,2025-01-13,Not Needed
ORD134653,2025-04-23,Wrong Item
ORD141962,2024-09-24,Damaged
ORD139590,2025-06-18,Late Delivery
ORD181035,2025-03-06,Not Needed
ORD110980,2025-03-28,Damaged
ORD156299,2025-07-07,Late Delivery
ORD161548,2024-09-18,Not Needed
ORD188400,2024-07-09,Damaged
ORD144323,2024-08-29,Damaged
ORD155207,2025-06-30,Damaged
ORD153527,2025-04-15,Damaged
ORD126970,2024-09-06,Damaged
ORD173217,2025-06-03,Late Delivery
ORD165890,2025-03-28,Damaged
ORD142221,2024-11-12,Late Delivery
ORD197865,2024-11-06,Damaged
ORD112250,2025-06-23,Not Needed
ORD169436,2025-05-13,Wrong Item
ORD138432,2025-01-15,Wrong Item
ORD140889,2025-06-16,Wrong Item
ORD130998,2025-04-15,Damaged
ORD156145,2025-06-30,Not Needed
ORD195413,2025-06-14,Late Delivery
ORD122155,2025-04-07,Wrong Item
ORD117613,2024-11-07,Late Delivery
ORD156443,2025-02-19,Damaged
ORD198399,2025-06-27,Late Delivery
ORD124052,2025-05-19,Late Delivery
ORD150242,2025-03-18,Late Delivery
ORD158998,2025-05-17,Wrong Item
ORD131344,2024-10-30,Late Delivery
ORD161241,2025-07-07,Wrong Item
ORD192529,2025-06-30,Wrong Item
ORD180828,2025-03-08,Wrong Item
ORD151725,2025-07-03,Wrong Item
ORD133879,2024-08-21,Wrong Item
ORD183006,2025-03-08,Late Delivery
ORD173908,2024-11-23,Late Delivery
ORD167246,2024-05-18,Wrong Item
ORD188807,2025-02-27,Damaged
ORD113121,2025-03-13,Not Needed
ORD108257,2025-06-20,Not Needed
ORD193380,2025-05-16,Not Needed
ORD113914,2023-12-19,Not Needed
ORD130902,2024-04-20,Not Needed
ORD172858,2025-06-24,Wrong Item
ORD120292,2024-03-02,Wrong Item
ORD158170,2025-06-12,Not Needed
ORD120949,2024-08-04,Not Needed
ORD136694,2024-05-20,Late Delivery
ORD108525,2024-10-31,Late Delivery
ORD178271,2025-06-10,Damaged
ORD177402,2024-09-25,Wrong Item
ORD177651,2025-05-06,Not Needed
ORD199836,2025-01-24,Late Delivery
ORD192271,2024-10-31,Wrong Item
ORD129775,2024-04-24,Wrong Item
ORD134807,2024-04-01,Wrong Item
ORD116885,2025-06-12,Damaged
ORD149983,2024-11-18,Wrong Item
ORD162614,2025-02-09,Wrong Item
ORD114228,2025-04-07,Wrong Item
ORD152176,2024-09-13,Wrong Item
ORD108028,2025-06-29,Late Delivery
ORD128921,2025-06-25,Not Needed
ORD169419,2024-11-24,Late Delivery
ORD170811,2025-05-21,Wrong Item
ORD134363,2024-11-05,Not Needed
ORD143203,2025-06-17,Wrong Item
ORD136794,2025-05-13,Late Delivery
ORD197026,2025-03-11,Late Delivery
ORD163342,2024-02-16,Not Needed
ORD136955,2024-02-23,Not Needed
ORD169228,2025-03-02,Damaged
ORD109423,2023-12-02,Damaged
ORD186000,2025-02-13,Wrong Item
ORD116958,2025-06-02,Late Delivery
ORD121614,2025-02-20,Late Delivery
ORD161461,2023-11-22,Late Delivery
ORD161773,2024-08-28,Damaged
ORD186801,2025-06-11,Wrong Item
ORD167502,2025-02-24,Wrong Item
ORD179370,2024-05-12,Not Needed
ORD134496,2025-02-11,Damaged
ORD143008,2024-09-26,Late Delivery
ORD191597,2025-06-18,Late Delivery
ORD175438,2025-06-22,Damaged
ORD129719,2025-02-24,Late Delivery
ORD138606,2025-01-26,Wrong Item
ORD177126,2025-02-24,Damaged
ORD197087,2024-11-23,Not Needed
ORD124626,2025-05-14,Late Delivery
ORD161814,2025-05-07,Late Delivery
ORD169755,2024-12-14,Late Delivery
ORD111930,2025-06-26,Not Needed
ORD116160,2024-04-03,Not Needed
ORD147439,2025-06-04,Wrong Item
ORD134605,2025-03-19,Late Delivery
ORD114106,2025-01-12,Late Delivery
ORD190650,2024-06-12,Not Needed
ORD198434,2025-06-24,Late Delivery
ORD117502,2024-11-05,Not Needed
ORD163485,2024-12-13,Late Delivery
ORD133075,2025-07-06,Wrong Item
ORD179808,2025-02-14,Late Delivery
ORD190790,2024-12-08,Late Delivery
ORD193364,2025-06-13,Not Needed
ORD118292,2025-01-15,Damaged
ORD143849,2024-12-09,Wrong Item
ORD135067,2024-12-18,Late Delivery
ORD161392,2024-10-15,Damaged
ORD127381,2023-11-18,Not Needed
ORD185413,2024-03-27,Late Delivery
ORD113797,2024-04-05,Wrong Item
ORD101728,2025-04-18,Damaged
ORD166100,2024-09-16,Late Delivery
ORD107677,2025-06-27,Damaged
ORD173314,2024-12-30,Wrong Item
ORD169695,2025-03-06,Not Needed
ORD105438,2025-06-13,Damaged
ORD173380,2025-06-16,Late Delivery
ORD134590,2025-03-11,Wrong Item
ORD108452,2025-05-08,Late Delivery
ORD106234,2024-12-20,Damaged
ORD156579,2024-11-06,Wrong Item
ORD144068,2025-04-07,Wrong Item
ORD173661,2025-01-05,Not Needed
ORD118241,2025-06-29,Late Delivery
ORD172559,2025-01-17,Wrong Item
ORD111372,2025-02-22,Damaged
ORD153067,2025-01-23,Not Needed
ORD154396,2024-01-09,Late Delivery
ORD160743,2025-03-08,Damaged
ORD104232,2024-11-24,Wrong Item
ORD166149,2024-12-29,Late Delivery
ORD100226,2024-04-24,Not Needed
ORD138050,2025-03-22,Not Needed
ORD175830,2024-08-20,Damaged
ORD111712,2025-07-06,Late Delivery
ORD189798,2025-07-06,Not Needed
ORD184721,2025-01-09,Late Delivery
ORD111650,2024-02-23,Damaged
ORD163792,2025-06-18,Not Needed
ORD118331,2024-07-27,Damaged
ORD159464,2025-06-23,Late Delivery
ORD131838,2025-06-16,Late Delivery
ORD135887,2025-04-15,Not Needed
ORD170557,2024-01-12,Damaged
ORD168841,2025-05-14,Wrong Item
ORD144299,2025-01-06,Not Needed
ORD139431,2025-05-03,Late Delivery
ORD171757,2025-06-15,Not Needed
ORD151266,2025-05-12,Not Needed
ORD149808,2025-05-25,Not Needed
ORD186688,2024-07-21,Wrong Item
ORD161004,2025-03-19,Damaged
ORD160770,2025-05-28,Not Needed
ORD100087,2024-08-31,Wrong Item
ORD177203,2025-06-28,Late Delivery
ORD151987,2025-03-04,Late Delivery
ORD182149,2025-04-17,Late Delivery
ORD143733,2025-04-01,Not Needed
ORD195181,2024-04-20,Damaged
ORD188476,2025-02-11,Late Delivery
ORD162005,2025-05-13,Damaged
ORD130883,2025-06-17,Not Needed
ORD150766,2025-05-01,Damaged
ORD174955,2025-04-10,Late Delivery
ORD112750,2023-12-24,Late Delivery
ORD136506,2025-05-15,Damaged
ORD109937,2024-08-28,Damaged
ORD118373,2025-03-10,Late Delivery
ORD192220,2025-03-03,Not Needed
ORD190729,2025-04-18,Not Needed
ORD112396,2024-12-20,Wrong Item
ORD194921,2024-07-30,Damaged
ORD133801,2025-05-16,Late Delivery
ORD101230,2025-07-02,Not Needed
ORD120334,2025-06-23,Damaged
ORD178043,2025-04-26,Wrong Item
ORD140350,2024-11-08,Not Needed
ORD150862,2025-01-19,Not Needed
ORD165409,2024-03-28,Late Delivery
ORD198465,2025-06-24,Not Needed
ORD183942,2025-06-07,Not Needed
ORD135640,2025-06-24,Wrong Item
ORD176609,2024-12-18,Wrong Item
ORD101045,2025-04-01,Wrong Item
ORD197795,2025-03-21,Late Delivery
ORD105937,2024-10-22,Damaged
ORD157687,2024-10-04,Wrong Item
ORD107895,2025-05-14,Damaged
ORD187484,2025-05-02,Damaged
ORD117570,2024-01-01,Damaged
ORD153064,2025-04-01,Wrong Item
ORD111141,2025-03-03,Late Delivery
ORD196936,2025-03-06,Damaged
ORD150490,2024-11-23,Not Needed
ORD133222,2024-11-13,Late Delivery
ORD182506,2024-10-18,Wrong Item
ORD136296,2025-06-13,Wrong Item
ORD167924,2024-05-16,Not Needed
ORD194404,2025-02-13,Damaged
ORD184992,2025-03-24,Late Delivery
ORD162122,2025-05-25,Damaged
ORD165743,2025-05-24,Wrong Item
ORD140246,2025-05-30,Not Needed
ORD116361,2024-07-30,Wrong Item
ORD155938,2025-02-04,Damaged
ORD128674,2025-06-19,Damaged
ORD123957,2024-11-06,Late Delivery
ORD107858,2025-02-18,Wrong Item
ORD194212,2025-01-18,Late Delivery
ORD163351,2025-04-03,Not Needed
ORD150198,2025-07-06,Damaged
ORD155238,2025-05-05,Wrong Item
ORD198340,2025-06-12,Late Delivery
ORD113705,2025-03-08,Late Delivery
ORD113579,2025-06-24,Not Needed
ORD134570,2025-03-23,Not Needed
ORD193621,2024-01-31,Damaged
ORD102104,2025-05-28,Not Needed
ORD174360,2025-04-21,Damaged
ORD185888,2024-07-26,Late Delivery
ORD199906,2025-06-02,Damaged
ORD156429,2024-10-19,Damaged
ORD186502,2025-03-11,Damaged
ORD112469,2025-03-13,Late Delivery
ORD114778,2025-02-06,Late Delivery
ORD127543,2024-08-03,Late Delivery
ORD197976,2025-06-11,Wrong Item
ORD146122,2025-03-26,Damaged
ORD149368,2025-07-07,Damaged
ORD101332,2024-04-30,Late Delivery
ORD102360,2025-04-11,Damaged
ORD182417,2025-06-08,Late Delivery
ORD145148,2024-08-31,Damaged
ORD107841,2025-07-01,Damaged
ORD186290,2024-03-30,Late Delivery
ORD136034,2025-04-20,Not Needed
ORD118145,2025-02-21,Not Needed
ORD170745,2024-09-22,Not Needed
ORD178803,2025-03-01,Not Needed
ORD194235,2025-01-29,Not Needed
ORD152490,2024-02-27,Damaged
ORD188894,2024-04-29,Wrong Item
ORD159268,2024-02-18,Wrong Item
ORD119662,2025-05-19,Wrong Item
ORD149825,2025-07-07,Late Delivery
ORD101322,2024-12-26,Late Delivery
ORD137623,2025-03-15,Late Delivery
ORD120086,2024-08-27,Not Needed
ORD188365,2025-05-14,Wrong Item
ORD192895,2025-06-18,Late Delivery
ORD169587,2025-05-30,Wrong Item
ORD126586,2025-03-06,Not Needed
ORD139878,2025-06-26,Damaged
ORD175298,2025-03-30,Damaged
ORD153978,2024-12-20,Wrong Item
ORD149673,2024-06-29,Wrong Item
ORD175961,2025-03-02,Late Delivery
ORD125355,2024-04-06,Damaged
ORD127733,2025-07-04,Not Needed
ORD118005,2025-02-20,Damaged
ORD122672,2025-03-31,Not Needed
ORD150380,2024-06-19,Damaged
ORD159038,2025-06-05,Not Needed
ORD143444,2024-09-23,Wrong Item
ORD102280,2024-03-01,Damaged
ORD177964,2025-06-28,Not Needed
ORD196125,2024-02-18,Not Needed
ORD177647,2025-06-21,Damaged
ORD131431,2024-09-17,Damaged
ORD131922,2024-11-13,Not Needed
ORD115808,2025-05-26,Wrong Item
ORD185541,2025-01-31,Not Needed
ORD115495,2024-03-23,Not Needed
ORD177431,2024-10-06,Late Delivery
ORD157936,2023-11-16,Late Delivery
ORD118949,2025-05-20,Wrong Item
ORD122583,2024-09-22,Not Needed
ORD106748,2025-05-03,Late Delivery
ORD180573,2025-05-11,Not Needed
ORD153070,2024-01-31,Damaged
ORD101402,2023-12-07,Damaged
ORD137781,2025-03-16,Wrong Item
ORD164679,2023-12-19,Not Needed
ORD179960,2025-05-31,Late Delivery
ORD123787,2025-07-01,Not Needed
ORD130418,2025-03-20,Not Needed
ORD159034,2024-12-07,Wrong Item
ORD120330,2024-03-09,Not Needed
ORD195652,2024-04-13,Not Needed
ORD100883,2025-03-27,Late Delivery
ORD141515,2025-03-09,Damaged
ORD114038,2024-11-13,Late Delivery
ORD144969,2025-05-12,Not Needed
ORD132865,2025-02-19,Damaged
ORD179368,2025-03-17,Wrong Item
ORD103253,2025-05-17,Not Needed
ORD102937,2025-04-18,Late Delivery
ORD136838,2025-02-05,Damaged
ORD125039,2025-04-21,Damaged
ORD123394,2025-05-23,Wrong Item
ORD181992,2025-01-02,Late Delivery
ORD156293,2024-07-21,Damaged
ORD101318,2025-03-15,Damaged
ORD195284,2025-02-07,Late Delivery
ORD132592,2025-06-25,Not Needed
ORD186253,2024-10-28,Wrong Item
ORD179994,2025-02-01,Wrong Item
ORD163780,2025-03-07,Late Delivery
ORD137108,2025-07-02,Wrong Item
ORD101349,2025-05-22,Not Needed
ORD104790,2025-05-19,Damaged
ORD196594,2025-02-09,Wrong Item
ORD187444,2025-05-19,Damaged
ORD187607,2025-01-22,Damaged
ORD184333,2025-05-07,Not Needed
ORD158134,2024-08-23,Late Delivery
ORD118634,2024-12-27,Late Delivery
ORD103393,2024-07-11,Not Needed
ORD172228,2024-08-28,Not Needed
ORD137587,2024-01-05,Not Needed
ORD111446,2024-08-26,Wrong Item
ORD192168,2025-06-08,Not Needed
ORD133054,2024-03-16,Damaged
ORD193268,2025-05-21,Late Delivery
ORD159808,2024-07-09,Wrong Item
ORD161577,2025-02-20,Late Delivery
ORD149660,2025-06-15,Wrong Item
ORD111060,2024-12-03,Damaged
ORD101550,2024-02-27,Damaged
ORD180750,2025-02-28,Damaged
ORD104510,2025-05-12,Wrong Item
ORD126438,2025-01-28,Wrong Item
ORD186708,2024-10-21,Wrong Item
ORD183003,2025-06-01,Damaged
ORD180166,2025-04-19,Not Needed
ORD148078,2024-11-03,Wrong Item
ORD116301,2025-03-25,Wrong Item
ORD117494,2024-10-09,Late Delivery
ORD185698,2025-06-19,Damaged
ORD161705,2024-05-20,Damaged
ORD149148,2024-11-04,Not Needed
ORD170172,2025-07-01,Wrong Item
ORD196222,2025-06-18,Late Delivery
ORD152412,2024-05-09,Damaged
ORD197493,2025-03-29,Late Delivery
ORD109093,2024-07-22,Damaged
ORD106267,2024-12-22,Wrong Item
ORD181823,2024-12-01,Not Needed
ORD140203,2025-02-28,Damaged
ORD169325,2025-06-25,Late Delivery
ORD157862,2025-03-23,Wrong Item
ORD152991,2025-01-17,Late Delivery
ORD189245,2025-04-12,Late Delivery
ORD126873,2024-03-04,Late Delivery
ORD162596,2025-04-07,Late Delivery
ORD147745,2025-05-30,Late Delivery
ORD140990,2024-11-03,Late Delivery
ORD113928,2025-02-21,Not Needed
ORD194953,2025-02-21,Late Delivery
ORD118742,2025-03-01,Damaged
ORD101057,2025-07-03,Damaged
ORD104337,2025-01-14,Late Delivery
ORD134170,2025-06-29,Not Needed
ORD196505,2024-12-18,Damaged
ORD102029,2025-06-13,Late Delivery
ORD101430,2025-05-24,Damaged
ORD135083,2025-03-11,Late Delivery
ORD133931,2025-04-15,Late Delivery
ORD155375,2025-06-20,Damaged
ORD122824,2023-12-12,Damaged
ORD173646,2025-05-17,Wrong Item
ORD125269,2025-03-26,Not Needed
ORD164034,2025-03-23,Not Needed
ORD114805,2024-08-08,Late Delivery
ORD160297,2024-04-11,Not Needed
ORD150078,2024-09-18,Not Needed
ORD131591,2025-01-10,Not Needed
ORD100585,2025-06-14,Not Needed
ORD136904,2024-08-12,Late Delivery
ORD121332,2025-02-22,Not Needed
ORD139456,2025-06-03,Not Needed
ORD112533,2025-02-09,Late Delivery
ORD140815,2023-09-24,Damaged
ORD168316,2025-02-08,Damaged
ORD142917,2024-12-29,Not Needed
ORD105215,2025-03-29,Damaged
ORD183012,2025-06-13,Wrong Item
ORD140199,2025-01-08,Late Delivery
ORD164273,2025-02-08,Late Delivery
ORD188543,2024-07-03,Damaged
ORD100833,2024-10-19,Late Delivery
ORD141272,2025-05-13,Wrong Item
ORD179342,2025-06-17,Late Delivery
ORD135015,2024-03-22,Not Needed
ORD166702,2025-06-07,Damaged
ORD165643,2024-03-18,Damaged
ORD118485,2025-04-14,Wrong Item
ORD133333,2025-02-19,Not Needed
ORD113551,2025-05-31,Not Needed
ORD195260,2025-02-09,Late Delivery
ORD117672,2024-06-25,Wrong Item
ORD123145,2025-02-15,Wrong Item
ORD161129,2025-06-26,Damaged
ORD169840,2024-04-26,Not Needed
ORD196986,2024-11-07,Damaged
ORD135753,2025-06-21,Wrong Item
ORD133459,2025-02-10,Late Delivery
ORD114268,2023-12-11,Damaged
ORD122186,2024-12-03,Not Needed
ORD115022,2025-06-19,Not Needed
ORD111968,2025-06-20,Not Needed
ORD128565,2024-06-19,Late Delivery
ORD125841,2025-06-07,Damaged
ORD100278,2025-04-21,Not Needed
ORD176182,2024-08-11,Not Needed
ORD106148,2025-05-27,Damaged
ORD161296,2025-06-13,Late Delivery
ORD177959,2025-05-10,Not Needed
ORD114149,2024-10-02,Not Needed
ORD147139,2025-05-22,Not Needed
ORD129517,2024-08-03,Late Delivery
ORD110049,2025-03-08,Damaged
ORD153345,2025-05-09,Damaged
ORD175309,2025-01-19,Not Needed
ORD120612,2025-03-04,Wrong Item
ORD134286,2024-08-25,Not Needed
ORD159396,2025-05-24,Not Needed
ORD138720,2024-07-20,Damaged
ORD131120,2024-08-08,Not Needed
ORD146499,2025-05-15,Late Delivery
ORD131418,2025-05-25,Damaged
ORD101572,2025-01-12,Late Delivery
ORD178056,2025-04-22,Wrong Item
ORD153083,2025-02-13,Not Needed
ORD127805,2023-08-04,Wrong Item
ORD196810,2024-05-23,Late Delivery
ORD197649,2025-01-24,Not Needed
ORD115842,2025-04-18,Wrong Item
ORD152852,2024-06-16,Wrong Item
ORD150137,2025-04-07,Wrong Item
ORD127537,2025-07-02,Wrong Item
ORD111855,2025-06-24,Wrong Item
ORD141093,2024-11-27,Damaged
ORD140941,2024-11-16,Damaged
ORD178212,2025-05-20,Wrong Item
ORD170851,2024-02-10,Not Needed
ORD185906,2025-06-08,Late Delivery
ORD170226,2025-05-14,Not Needed
ORD117247,2025-05-04,Late Delivery
ORD191330,2025-01-14,Damaged
ORD174411,2025-04-13,Late Delivery
ORD113735,2025-03-19,Wrong Item
ORD175533,2024-09-25,Wrong Item
ORD119778,2025-04-17,Late Delivery
ORD108093,2025-04-06,Late Delivery
ORD192533,2025-06-02,Not Needed
ORD182192,2025-06-25,Wrong Item
ORD167483,2025-06-29,Late Delivery
ORD146677,2024-05-13,Late Delivery
ORD174257,2024-06-14,Not Needed
ORD154568,2024-06-01,Damaged
ORD161460,2025-06-06,Damaged
ORD131021,2024-05-07,Damaged
ORD102129,2025-07-03,Late Delivery
ORD195184,2024-12-14,Damaged
ORD111863,2024-11-06,Not Needed
ORD155042,2025-06-17,Damaged
ORD114424,2025-05-28,Wrong Item
ORD152150,2025-06-22,Late Delivery
